Filename	Time	CH D - V	CH D - I(μA)	CH D - R(Ω)
C:\Users\cbio_prototype\Desktop\220507\900\0049_133015324819500445.tif	2022-07-05 15:08:01.887	794.446	82.721	9603915.575
C:\Users\cbio_prototype\Desktop\220507\900\0050_133015324819656850.tif	2022-07-05 15:08:01.887	794.446	82.721	9603915.575
C:\Users\cbio_prototype\Desktop\220507\900\0051_133015324819813032.tif	2022-07-05 15:08:01.887	794.446	82.721	9603915.575
C:\Users\cbio_prototype\Desktop\220507\900\0052_133015324820125643.tif	2022-07-05 15:08:01.887	794.446	82.721	9603915.575
C:\Users\cbio_prototype\Desktop\220507\900\0053_133015324820281920.tif	2022-07-05 15:08:01.887	794.446	82.721	9603915.575
C:\Users\cbio_prototype\Desktop\220507\900\0054_133015324820594557.tif	2022-07-05 15:08:01.887	794.446	82.721	9603915.575
C:\Users\cbio_prototype\Desktop\220507\900\0055_133015324820750823.tif	2022-07-05 15:08:01.887	794.446	82.721	9603915.575
C:\Users\cbio_prototype\Desktop\220507\900\0056_133015324820907110.tif	2022-07-05 15:08:01.887	794.446	82.721	9603915.575
C:\Users\cbio_prototype\Desktop\220507\900\0057_133015324821219726.tif	2022-07-05 15:08:01.887	794.446	82.721	9603915.575
C:\Users\cbio_prototype\Desktop\220507\900\0058_133015324821376025.tif	2022-07-05 15:08:01.887	794.446	82.721	9603915.575
C:\Users\cbio_prototype\Desktop\220507\900\0059_133015324821688606.tif	2022-07-05 15:08:02.153	796.562	83.441	9546422.979
C:\Users\cbio_prototype\Desktop\220507\900\0060_133015324821844913.tif	2022-07-05 15:08:02.153	796.562	83.441	9546422.979
C:\Users\cbio_prototype\Desktop\220507\900\0061_133015324822001208.tif	2022-07-05 15:08:02.153	796.562	83.441	9546422.979
C:\Users\cbio_prototype\Desktop\220507\900\0062_133015324822313796.tif	2022-07-05 15:08:02.153	796.562	83.441	9546422.979
C:\Users\cbio_prototype\Desktop\220507\900\0063_133015324822470087.tif	2022-07-05 15:08:02.153	796.562	83.441	9546422.979
C:\Users\cbio_prototype\Desktop\220507\900\0064_133015324822626382.tif	2022-07-05 15:08:02.153	796.562	83.441	9546422.979
C:\Users\cbio_prototype\Desktop\220507\900\0065_133015324822938997.tif	2022-07-05 15:08:02.153	796.562	83.441	9546422.979
C:\Users\cbio_prototype\Desktop\220507\900\0066_133015324823095269.tif	2022-07-05 15:08:02.153	796.562	83.441	9546422.979
C:\Users\cbio_prototype\Desktop\220507\900\0067_133015324823407866.tif	2022-07-05 15:08:02.153	796.562	83.441	9546422.979
C:\Users\cbio_prototype\Desktop\220507\900\0068_133015324823564178.tif	2022-07-05 15:08:02.153	796.562	83.441	9546422.979
C:\Users\cbio_prototype\Desktop\220507\900\0069_133015324823720462.tif	2022-07-05 15:08:02.153	796.562	83.441	9546422.979
C:\Users\cbio_prototype\Desktop\220507\900\0070_133015324824033119.tif	2022-07-05 15:08:02.153	796.562	83.441	9546422.979
C:\Users\cbio_prototype\Desktop\220507\900\0071_133015324824189355.tif	2022-07-05 15:08:02.153	796.562	83.441	9546422.979
C:\Users\cbio_prototype\Desktop\220507\900\0072_133015324824501994.tif	2022-07-05 15:08:02.153	796.562	83.441	9546422.979
C:\Users\cbio_prototype\Desktop\220507\900\0073_133015324824658251.tif	2022-07-05 15:08:02.153	796.562	83.441	9546422.979
C:\Users\cbio_prototype\Desktop\220507\900\0073_133015324824658251.tif	2022-07-05 15:08:02.465	798.083	83.897	9512656.814
C:\Users\cbio_prototype\Desktop\220507\900\0074_133015324824814534.tif	2022-07-05 15:08:02.465	798.083	83.897	9512656.814
C:\Users\cbio_prototype\Desktop\220507\900\0075_133015324825127133.tif	2022-07-05 15:08:02.465	798.083	83.897	9512656.814
C:\Users\cbio_prototype\Desktop\220507\900\0076_133015324825283435.tif	2022-07-05 15:08:02.465	798.083	83.897	9512656.814
C:\Users\cbio_prototype\Desktop\220507\900\0077_133015324825596035.tif	2022-07-05 15:08:02.465	798.083	83.897	9512656.814
C:\Users\cbio_prototype\Desktop\220507\900\0078_133015324825752351.tif	2022-07-05 15:08:02.465	798.083	83.897	9512656.814
C:\Users\cbio_prototype\Desktop\220507\900\0079_133015324825908622.tif	2022-07-05 15:08:02.465	798.083	83.897	9512656.814
C:\Users\cbio_prototype\Desktop\220507\900\0080_133015324826221245.tif	2022-07-05 15:08:02.465	798.083	83.897	9512656.814
C:\Users\cbio_prototype\Desktop\220507\900\0081_133015324826377511.tif	2022-07-05 15:08:02.465	798.083	83.897	9512656.814
C:\Users\cbio_prototype\Desktop\220507\900\0082_133015324826533813.tif	2022-07-05 15:08:02.465	798.083	83.897	9512656.814
C:\Users\cbio_prototype\Desktop\220507\900\0083_133015324826846417.tif	2022-07-05 15:08:02.465	798.083	83.897	9512656.814
C:\Users\cbio_prototype\Desktop\220507\900\0084_133015324827002702.tif	2022-07-05 15:08:02.465	798.083	83.897	9512656.814
C:\Users\cbio_prototype\Desktop\220507\900\0085_133015324827315298.tif	2022-07-05 15:08:02.465	798.083	83.897	9512656.814
C:\Users\cbio_prototype\Desktop\220507\900\0085_133015324827315298.tif	2022-07-05 15:08:02.731	798.754	84.238	9482155.942
C:\Users\cbio_prototype\Desktop\220507\900\0086_133015324827471603.tif	2022-07-05 15:08:02.731	798.754	84.238	9482155.942
C:\Users\cbio_prototype\Desktop\220507\900\0087_133015324827627897.tif	2022-07-05 15:08:02.731	798.754	84.238	9482155.942
C:\Users\cbio_prototype\Desktop\220507\900\0088_133015324827940495.tif	2022-07-05 15:08:02.731	798.754	84.238	9482155.942
C:\Users\cbio_prototype\Desktop\220507\900\0089_133015324828096815.tif	2022-07-05 15:08:02.731	798.754	84.238	9482155.942
C:\Users\cbio_prototype\Desktop\220507\900\0090_133015324828409385.tif	2022-07-05 15:08:02.731	798.754	84.238	9482155.942
C:\Users\cbio_prototype\Desktop\220507\900\0091_133015324828565681.tif	2022-07-05 15:08:02.731	798.754	84.238	9482155.942
C:\Users\cbio_prototype\Desktop\220507\900\0092_133015324828721973.tif	2022-07-05 15:08:02.731	798.754	84.238	9482155.942
C:\Users\cbio_prototype\Desktop\220507\900\0093_133015324829034585.tif	2022-07-05 15:08:02.731	798.754	84.238	9482155.942
C:\Users\cbio_prototype\Desktop\220507\900\0094_133015324829190874.tif	2022-07-05 15:08:02.731	798.754	84.238	9482155.942
C:\Users\cbio_prototype\Desktop\220507\900\0095_133015324829503486.tif	2022-07-05 15:08:02.731	798.754	84.238	9482155.942
C:\Users\cbio_prototype\Desktop\220507\900\0096_133015324829659759.tif	2022-07-05 15:08:02.731	798.754	84.238	9482155.942
C:\Users\cbio_prototype\Desktop\220507\900\0097_133015324829816066.tif	2022-07-05 15:08:02.731	798.754	84.238	9482155.942
